day,طحين,سكر,زيت,رز,خميرة,ملح,عدس,فول,حمص,تمر,لبن,جبنة,بيض,شاي,قهوة,معكرونة,عسل,سمك,لحم,دجاج,برغل,صلصة,حلاوة,السيرج,سيرج,بطاطا,بندورة,خيار,فلفل,باذنجان
2025-05-07,3.54,11.06,2.65,0.44,8.85,0.0,11.06,1.77,11.06,10.18,0.0,2.21,0.44,0.0,1.33,0.44,0.0,0.0,15.93,1.33,0.0,9.29,0.88,0.0,2.21,0.0,0.0,0.0,0.0,0.0
2025-05-08,46.43,14.29,3.57,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.57,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0
2025-05-09,13.64,4.55,4.55,4.55,0.0,4.55,4.55,0.0,4.55,0.0,0.0,0.0,4.55,4.55,4.55,0.0,13.64,0.0,0.0,0.0,0.0,4.55,0.0,0.0,13.64,0.0,0.0,0.0,4.55,0.0
2025-05-10,4.26,21.28,0.0,23.4,0.0,0.0,19.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-11,12.9,6.45,3.23,9.68,0.0,0.0,6.45,0.0,9.68,0.0,0.0,0.0,3.23,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,19.35,0.0,22.58,0.0,0.0,0.0,0.0,0.0
2025-05-12,25.0,10.0,5.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,15.79,26.32,5.26,10.53,0.0,0.0,10.53,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0
2025-05-14,10.2,5.1,0.0,13.27,11.22,0.0,14.29,11.22,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,0.0,2.04,0.0,0.0,0.0,0.0,0.0
2025-05-15,12.82,2.56,2.56,12.82,7.69,0.0,12.82,7.69,0.0,2.56,0.0,0.0,2.56,0.0,0.0,2.56,2.56,2.56,0.0,0.0,0.0,0.0,12.82,0.0,2.56,0.0,0.0,0.0,0.0,0.0
2025-05-16,22.45,12.24,0.0,8.16,8.16,2.04,8.16,8.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,2.04,0.0,0.0,0.0,0.0,0.0,8.16,0.0,14.29,0.0,0.0,0.0,0.0,0.0
